0 0 0
1 35 8192
2 278 8192
3 291 8192
4 320 8192
5 1077 8192
6 1086 8192
7 1112 8192
8 1438 8192
9 1449 8192
10 1668 8192
11 1684 8192
12 1714 8192
13 1761 8192
14 2373 8192
15 2576 8192
16 2588 8192
17 2620 8192
18 3366 8192
19 3354 8192
20 3364 8192
21 3430 8192
22 3211 8192
23 3824 8192
24 3842 8192
25 4112 8192
26 4355 8192
27 4487 8192
28 4615 8192
29 5600 8192
30 5907 16384
31 5945 16384
32 6392 16384
33 6411 16384
34 6364 16384
35 6473 16384
36 6732 16384
37 6473 16384
38 6457 16384
39 6465 16384
40 6526 16384
41 5780 16384
42 5454 16384
43 6332 16384
44 6503 16384
45 6682 16384
46 6938 16384
47 6950 16384
48 6193 16384
49 6567 16384
50 6691 16384
51 6679 16384
52 6547 16384
53 6580 16384
54 6545 16384
55 7092 16384
56 7104 16384
57 6848 16384
58 7618 16384
59 7605 16384
60 7692 16384
61 7835 16384
62 8132 16384
63 8414 16384
64 8867 16384
65 9093 16384
66 8786 16384
67 8796 16384
68 8843 16384
69 8866 16384
70 8876 16384
71 9812 16384
72 9839 16384
73 9807 16384
74 9720 16384
75 10278 16384
76 10255 16384
77 10229 16384
78 10360 16384
79 10996 16384
80 11150 24576
81 10853 24576
82 10864 24576
83 10826 24576
84 10583 24576
85 10598 24576
86 10587 24576
87 10651 24576
88 10425 24576
89 10410 24576
90 10493 24576
91 10552 24576
92 10533 24576
93 10866 24576
94 10839 24576
95 11023 24576
96 11340 24576
97 10727 24576
98 10934 24576
99 9998 24576
100 9968 24576
101 10315 24576
102 10108 24576
103 10129 24576
104 10205 24576
105 10298 24576
106 10286 24576
107 9833 24576
108 9823 24576
109 9757 24576
110 9573 24576
111 9526 24576
112 9515 24576
113 9497 24576
114 9123 24576
115 9113 24576
116 9020 24576
117 9011 24576
118 8241 24576
119 8388 24576
120 8241 24576
121 7694 24576
122 8524 24576
123 7912 24576
124 7758 24576
125 7776 24576
126 7766 24576
127 6781 24576
128 5951 24576
129 6021 24576
130 5850 24576
131 5707 24576
132 5149 24576
133 5088 24576
134 5099 24576
135 5130 24576
136 5159 24576
137 5577 24576
138 5590 24576
139 5257 24576
140 5523 24576
141 5582 24576
142 5339 24576
143 5418 24576
144 5387 24576
145 4751 24576
146 4687 24576
147 4563 24576
148 4603 24576
149 4475 24576
150 4442 24576
151 4575 24576
152 4546 24576
153 4648 24576
154 4378 24576
155 4061 16384
156 3952 16384
157 3961 16384
158 3940 16384
159 3932 16384
160 3944 16384
161 3597 16384
162 3527 16384
163 3468 16384
164 3486 16384
165 3457 16384
166 3039 16384
167 3070 16384
168 2192 16384
169 2061 16384
170 2021 16384
171 2003 16384
172 2588 16384
173 2512 16384
174 2879 16384
175 2796 16384
176 2737 16384
177 2706 16384
178 2693 16384
179 3191 16384
180 3313 16384
181 3234 16384
182 3222 16384
183 2855 16384
184 2753 16384
185 2255 16384
186 2408 16384
187 2229 16384
188 1947 16384
189 1936 16384
190 1814 16384
191 2714 16384
192 2705 16384
193 1805 16384
194 1787 16384
195 1584 16384
196 1137 8192
197 552 8192
198 286 8192
199 133 8192
200 0 0
